Namespace(arch='resnet18', batch_size=64, ckpt=None, data_dir='/home/aamich/fall21/CycleGAN_pix2pix/MNIST', dataset='MNIST', epochs=500, exp_name='train_MNIST', in_channel=1, lr=0.5, method='SupCon', momentum=0.9, normalize=False, num_classes=10, print_freq=100, results_dir='/home/aamich/fall21/SSD', save_freq=1, seed=12345, size=28, temperature=0.5, training_mode='SimCLR', warmup=True, weight_decay=0.0001)
Epoch 231, validation accuracy 95.0, best_prec 96.68
Epoch 232, validation accuracy 95.54, best_prec 96.68
Epoch 233, validation accuracy 95.09, best_prec 96.68
Epoch 234, validation accuracy 95.82999999999998, best_prec 96.68
Epoch 235, validation accuracy 95.71, best_prec 96.68
Epoch 236, validation accuracy 95.15, best_prec 96.68
Epoch 237, validation accuracy 96.05, best_prec 96.68
Epoch 238, validation accuracy 95.24, best_prec 96.68
Epoch 239, validation accuracy 96.13, best_prec 96.68
Epoch 240, validation accuracy 95.54, best_prec 96.68
Epoch 241, validation accuracy 95.58, best_prec 96.68
Epoch 242, validation accuracy 95.98, best_prec 96.68
Epoch 243, validation accuracy 95.52, best_prec 96.68
Epoch 244, validation accuracy 95.77, best_prec 96.68
Epoch 245, validation accuracy 95.13000000000001, best_prec 96.68
Epoch 246, validation accuracy 95.63000000000001, best_prec 96.68
Epoch 247, validation accuracy 95.87, best_prec 96.68
Epoch 248, validation accuracy 95.34, best_prec 96.68
Epoch 249, validation accuracy 95.79, best_prec 96.68
Epoch 250, validation accuracy 94.80000000000001, best_prec 96.68
Epoch 251, validation accuracy 95.81, best_prec 96.68
Epoch 252, validation accuracy 94.85, best_prec 96.68
Epoch 253, validation accuracy 95.60000000000001, best_prec 96.68
Epoch 254, validation accuracy 95.52000000000001, best_prec 96.68
Epoch 255, validation accuracy 95.35, best_prec 96.68
Epoch 256, validation accuracy 95.35, best_prec 96.68
Epoch 257, validation accuracy 95.55, best_prec 96.68
Epoch 258, validation accuracy 95.87, best_prec 96.68
Epoch 259, validation accuracy 95.67, best_prec 96.68
Epoch 260, validation accuracy 96.1, best_prec 96.68
Epoch 261, validation accuracy 95.97000000000001, best_prec 96.68
Epoch 262, validation accuracy 95.61, best_prec 96.68
Epoch 263, validation accuracy 95.94, best_prec 96.68
Epoch 264, validation accuracy 94.98, best_prec 96.68
Epoch 265, validation accuracy 95.91999999999999, best_prec 96.68
Epoch 266, validation accuracy 95.38, best_prec 96.68
Epoch 267, validation accuracy 95.04999999999998, best_prec 96.68
Epoch 268, validation accuracy 95.15, best_prec 96.68
Epoch 269, validation accuracy 95.3, best_prec 96.68
Epoch 270, validation accuracy 95.83, best_prec 96.68
Epoch 271, validation accuracy 96.36000000000001, best_prec 96.68
Epoch 272, validation accuracy 95.91999999999999, best_prec 96.68
Epoch 273, validation accuracy 95.61999999999999, best_prec 96.68
Epoch 274, validation accuracy 95.79999999999998, best_prec 96.68
Epoch 275, validation accuracy 95.97999999999999, best_prec 96.68
Epoch 276, validation accuracy 95.47000000000001, best_prec 96.68
Epoch 277, validation accuracy 95.45, best_prec 96.68
Epoch 278, validation accuracy 95.67, best_prec 96.68
Epoch 279, validation accuracy 95.93, best_prec 96.68
Epoch 280, validation accuracy 95.12, best_prec 96.68
Epoch 281, validation accuracy 95.26, best_prec 96.68
Epoch 282, validation accuracy 95.93, best_prec 96.68
Epoch 283, validation accuracy 95.82000000000001, best_prec 96.68
Epoch 284, validation accuracy 96.19, best_prec 96.68
Epoch 285, validation accuracy 95.86, best_prec 96.68
Epoch 286, validation accuracy 95.95, best_prec 96.68
Epoch 287, validation accuracy 96.26999999999998, best_prec 96.68
Epoch 288, validation accuracy 95.73, best_prec 96.68
Epoch 289, validation accuracy 95.55, best_prec 96.68
Epoch 290, validation accuracy 95.28999999999999, best_prec 96.68
Epoch 291, validation accuracy 95.83999999999999, best_prec 96.68
Epoch 292, validation accuracy 96.02000000000001, best_prec 96.68
Epoch 293, validation accuracy 95.28999999999999, best_prec 96.68
Epoch 294, validation accuracy 96.04000000000002, best_prec 96.68
Epoch 295, validation accuracy 95.35000000000002, best_prec 96.68
Epoch 296, validation accuracy 96.09, best_prec 96.68
Epoch 297, validation accuracy 96.17999999999999, best_prec 96.68
Epoch 298, validation accuracy 94.96, best_prec 96.68
Epoch 299, validation accuracy 96.1, best_prec 96.68
Epoch 300, validation accuracy 96.16, best_prec 96.68
Epoch 301, validation accuracy 95.85000000000001, best_prec 96.68
Epoch 302, validation accuracy 95.91000000000001, best_prec 96.68
Epoch 303, validation accuracy 95.92, best_prec 96.68
Epoch 304, validation accuracy 95.28999999999999, best_prec 96.68
Epoch 305, validation accuracy 95.38, best_prec 96.68
Epoch 306, validation accuracy 95.11, best_prec 96.68
Epoch 307, validation accuracy 95.63000000000001, best_prec 96.68
Epoch 308, validation accuracy 96.11000000000001, best_prec 96.68
Epoch 309, validation accuracy 95.87, best_prec 96.68
Epoch 310, validation accuracy 95.89999999999999, best_prec 96.68
Epoch 311, validation accuracy 95.44, best_prec 96.68
Epoch 312, validation accuracy 96.02000000000001, best_prec 96.68
Epoch 313, validation accuracy 95.81, best_prec 96.68
Epoch 314, validation accuracy 95.87, best_prec 96.68
Epoch 315, validation accuracy 96.15, best_prec 96.68
Epoch 316, validation accuracy 95.52, best_prec 96.68
Epoch 317, validation accuracy 95.98, best_prec 96.68
Epoch 318, validation accuracy 96.08000000000001, best_prec 96.68
Epoch 319, validation accuracy 95.99, best_prec 96.68
Epoch 320, validation accuracy 95.59, best_prec 96.68
Epoch 321, validation accuracy 96.37, best_prec 96.68
Epoch 322, validation accuracy 95.36999999999999, best_prec 96.68
Epoch 323, validation accuracy 95.99, best_prec 96.68
Epoch 324, validation accuracy 95.5, best_prec 96.68
Epoch 325, validation accuracy 95.74000000000001, best_prec 96.68
Epoch 326, validation accuracy 95.15, best_prec 96.68
Epoch 327, validation accuracy 96.0, best_prec 96.68
Epoch 328, validation accuracy 96.17000000000002, best_prec 96.68
Epoch 329, validation accuracy 95.26, best_prec 96.68
Epoch 330, validation accuracy 95.52, best_prec 96.68
Epoch 331, validation accuracy 95.68, best_prec 96.68
Epoch 332, validation accuracy 95.67, best_prec 96.68
Epoch 333, validation accuracy 95.66, best_prec 96.68
Epoch 334, validation accuracy 95.55, best_prec 96.68
Epoch 335, validation accuracy 95.84000000000002, best_prec 96.68
Epoch 336, validation accuracy 95.93, best_prec 96.68
Epoch 337, validation accuracy 96.02000000000001, best_prec 96.68
Epoch 338, validation accuracy 95.88000000000001, best_prec 96.68
Epoch 339, validation accuracy 95.81, best_prec 96.68
Epoch 340, validation accuracy 95.32000000000001, best_prec 96.68
Epoch 341, validation accuracy 95.77, best_prec 96.68
Epoch 342, validation accuracy 95.76, best_prec 96.68
Epoch 343, validation accuracy 96.16, best_prec 96.68
Epoch 344, validation accuracy 95.37, best_prec 96.68
Epoch 345, validation accuracy 96.24000000000001, best_prec 96.68
Epoch 346, validation accuracy 95.07, best_prec 96.68
Epoch 347, validation accuracy 95.77, best_prec 96.68
Epoch 348, validation accuracy 95.89000000000001, best_prec 96.68
Epoch 349, validation accuracy 96.11999999999998, best_prec 96.68
Epoch 350, validation accuracy 95.74999999999999, best_prec 96.68
Epoch 351, validation accuracy 96.01, best_prec 96.68
Epoch 352, validation accuracy 95.58, best_prec 96.68
Epoch 353, validation accuracy 95.4, best_prec 96.68
Epoch 354, validation accuracy 95.8, best_prec 96.68
Epoch 355, validation accuracy 95.63000000000001, best_prec 96.68
Epoch 356, validation accuracy 95.97999999999999, best_prec 96.68
Epoch 357, validation accuracy 95.81, best_prec 96.68
Epoch 358, validation accuracy 95.72999999999998, best_prec 96.68
Epoch 359, validation accuracy 96.33, best_prec 96.68
Epoch 360, validation accuracy 95.79, best_prec 96.68
Epoch 361, validation accuracy 95.39, best_prec 96.68
Epoch 362, validation accuracy 95.8, best_prec 96.68
Epoch 363, validation accuracy 95.41999999999999, best_prec 96.68
Epoch 364, validation accuracy 96.00000000000001, best_prec 96.68
Epoch 365, validation accuracy 96.2, best_prec 96.68
Epoch 366, validation accuracy 95.93, best_prec 96.68
Epoch 367, validation accuracy 95.91999999999999, best_prec 96.68
Epoch 368, validation accuracy 95.92, best_prec 96.68
Epoch 369, validation accuracy 95.7, best_prec 96.68
Epoch 370, validation accuracy 96.42999999999999, best_prec 96.68
Epoch 371, validation accuracy 96.55000000000001, best_prec 96.68
Epoch 372, validation accuracy 95.94000000000001, best_prec 96.68
